סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
9100,320,559,359,4,355,נהריה,33,13,3,0,1,0,0,0,0,27,7,27,15,156,8,1,6,1,0,0,0,0,0,0,3,0,0,54
9100,330,617,380,6,374,נהריה,28,26,3,1,0,0,0,1,0,40,7,27,30,159,5,1,8,0,0,0,0,0,0,1,3,0,0,34
9100,340,623,360,9,351,נהריה,34,5,0,0,0,0,0,1,0,49,10,71,6,130,7,0,0,0,1,0,2,0,1,0,3,0,0,31
9100,350,720,482,5,477,נהריה,37,6,2,0,0,0,0,2,0,64,35,68,14,199,9,1,3,2,0,0,1,0,0,1,2,0,0,31
9100,360,774,460,13,447,נהריה,13,4,8,0,0,1,0,1,0,51,35,95,19,168,2,1,0,0,0,0,1,0,0,0,4,0,0,44
9100,370,724,410,0,410,נהריה,20,12,4,0,1,0,0,1,0,54,26,43,23,158,6,2,2,1,1,0,0,0,0,2,4,0,0,50
9100,380,642,387,2,385,נהריה,59,11,2,0,0,0,0,0,0,77,6,25,13,149,14,1,2,0,0,0,0,0,3,0,4,0,1,18
9100,390,621,332,4,328,נהריה,36,13,3,0,0,0,0,1,0,58,6,30,3,137,22,2,1,0,0,0,0,0,0,0,4,0,0,12
9100,400,669,438,3,435,נהריה,90,10,0,0,3,0,0,0,0,78,3,9,15,180,7,1,4,0,0,0,0,0,0,0,12,0,3,20
9100,410,723,428,8,420,נהריה,64,17,1,2,0,0,0,1,0,79,8,35,10,151,11,2,8,0,0,0,0,0,0,0,6,0,0,25
9100,420,589,353,3,350,נהריה,79,11,0,0,1,0,0,0,0,61,13,37,4,111,14,0,0,0,0,0,0,0,0,1,1,0,3,14
9100,430,561,304,4,300,נהריה,64,12,2,1,2,0,0,0,0,55,5,14,12,90,17,0,0,0,0,0,0,0,0,0,7,0,2,17
9100,440,375,212,4,208,נהריה,37,0,0,0,0,0,0,2,1,38,1,8,30,65,11,1,1,0,0,0,1,0,0,0,2,0,3,7
9100,450,487,335,6,329,נהריה,80,17,0,0,0,1,0,0,0,66,2,9,9,114,16,1,1,0,0,0,0,0,0,1,1,0,1,10
9100,460,800,475,8,467,נהריה,108,7,1,1,2,0,0,0,0,104,10,26,6,158,10,0,4,0,0,0,0,0,0,0,7,0,2,21
9100,470,499,271,3,268,נהריה,43,6,2,1,2,1,0,0,1,46,8,22,8,85,3,1,11,2,0,1,0,0,0,0,3,0,0,22
9100,480,697,445,6,439,נהריה,63,18,1,1,0,0,0,0,0,99,12,28,16,142,15,1,2,0,0,1,0,1,0,0,6,0,1,32
9100,490,634,438,5,433,נהריה,66,40,4,0,0,0,0,0,0,68,5,40,8,158,11,0,2,0,0,0,0,0,0,0,2,0,2,27
9100,500,693,440,6,434,נהריה,57,26,2,0,0,0,0,1,0,78,7,47,14,162,10,1,0,0,0,0,0,0,0,0,3,0,0,26
9100,510,756,478,8,470,נהריה,39,12,2,3,4,0,0,1,0,88,13,73,12,167,16,1,2,0,0,0,0,1,0,1,8,0,1,26
9100,520,695,441,12,429,נהריה,92,18,1,0,0,0,0,0,0,102,7,16,17,141,16,1,0,0,0,0,0,0,0,0,3,0,1,14
